Team,Season,Result
Denver Nuggets,1990,Conference First Round
Chicago Bulls,1991,Won Finals
Los Angeles Lakers,1991,Lost Finals
Detroit Pistons,1991,Conference Finals
Portland Trail Blazers,1991,Conference Finals
Philadelphia 76ers,1991,Conference Semifinals
Boston Celtics,1991,Conference Semifinals
Golden State Warriors,1991,Conference Semifinals
Utah Jazz,1991,Conference Semifinals
Indiana Pacers,1991,Conference First Round
New York Knicks,1991,Conference First Round
Atlanta Hawks,1991,Conference First Round
Milwaukee Bucks,1991,Conference First Round
San Antonio Spurs,1991,Conference First Round
Houston Rockets,1991,Conference First Round
Seattle SuperSonics,1991,Conference First Round
Phoenix Suns,1991,Conference First Round
Chicago Bulls,1992,Won Finals
Portland Trail Blazers,1992,Lost Finals
Cleveland Cavaliers,1992,Conference Finals
Utah Jazz,1992,Conference Finals
New York Knicks,1992,Conference Semifinals
Boston Celtics,1992,Conference Semifinals
Phoenix Suns,1992,Conference Semifinals
Seattle SuperSonics,1992,Conference Semifinals
Indiana Pacers,1992,Conference First Round
Miami Heat,1992,Conference First Round
New Jersey Nets,1992,Conference First Round
Detroit Pistons,1992,Conference First Round
San Antonio Spurs,1992,Conference First Round
Los Angeles Lakers,1992,Conference First Round
Golden State Warriors,1992,Conference First Round
Los Angeles Clippers,1992,Conference First Round
Chicago Bulls,1993,Won Finals
Phoenix Suns,1993,Lost Finals
New York Knicks,1993,Conference Finals
Seattle SuperSonics,1993,Conference Finals
Cleveland Cavaliers,1993,Conference Semifinals
Charlotte Hornets,1993,Conference Semifinals
San Antonio Spurs,1993,Conference Semifinals
Houston Rockets,1993,Conference Semifinals
Boston Celtics,1993,Conference First Round
Atlanta Hawks,1993,Conference First Round
New Jersey Nets,1993,Conference First Round
Indiana Pacers,1993,Conference First Round
Los Angeles Clippers,1993,Conference First Round
Los Angeles Lakers,1993,Conference First Round
Portland Trail Blazers,1993,Conference First Round
Utah Jazz,1993,Conference First Round
Houston Rockets,1994,Won Finals
New York Knicks,1994,Lost Finals
Indiana Pacers,1994,Conference Finals
Utah Jazz,1994,Conference Finals
Atlanta Hawks,1994,Conference Semifinals
Chicago Bulls,1994,Conference Semifinals
Phoenix Suns,1994,Conference Semifinals
Denver Nuggets,1994,Conference Semifinals
Miami Heat,1994,Conference First Round
Cleveland Cavaliers,1994,Conference First Round
Orlando Magic,1994,Conference First Round
New Jersey Nets,1994,Conference First Round
Seattle SuperSonics,1994,Conference First Round
Portland Trail Blazers,1994,Conference First Round
Golden State Warriors,1994,Conference First Round
San Antonio Spurs,1994,Conference First Round
Houston Rockets,1995,Won Finals
Orlando Magic,1995,Lost Finals
Indiana Pacers,1995,Conference Finals
San Antonio Spurs,1995,Conference Finals
New York Knicks,1995,Conference Semifinals
Chicago Bulls,1995,Conference Semifinals
Phoenix Suns,1995,Conference Semifinals
Los Angeles Lakers,1995,Conference Semifinals
Charlotte Hornets,1995,Conference First Round
Atlanta Hawks,1995,Conference First Round
Cleveland Cavaliers,1995,Conference First Round
Boston Celtics,1995,Conference First Round
Utah Jazz,1995,Conference First Round
Seattle SuperSonics,1995,Conference First Round
Portland Trail Blazers,1995,Conference First Round
Denver Nuggets,1995,Conference First Round
Chicago Bulls,1996,Won Finals
Seattle SuperSonics,1996,Lost Finals
Orlando Magic,1996,Conference Finals
Utah Jazz,1996,Conference Finals
New York Knicks,1996,Conference Semifinals
Atlanta Hawks,1996,Conference Semifinals
Houston Rockets,1996,Conference Semifinals
San Antonio Spurs,1996,Conference Semifinals
Indiana Pacers,1996,Conference First Round
Miami Heat,1996,Conference First Round
Cleveland Cavaliers,1996,Conference First Round
Detroit Pistons,1996,Conference First Round
Los Angeles Lakers,1996,Conference First Round
Phoenix Suns,1996,Conference First Round
Sacramento Kings,1996,Conference First Round
Portland Trail Blazers,1996,Conference First Round
Chicago Bulls,1997,Won Finals
Utah Jazz,1997,Lost Finals
Miami Heat,1997,Conference Finals
Houston Rockets,1997,Conference Finals
Atlanta Hawks,1997,Conference Semifinals
New York Knicks,1997,Conference Semifinals
Seattle SuperSonics,1997,Conference Semifinals
Los Angeles Lakers,1997,Conference Semifinals
Detroit Pistons,1997,Conference First Round
Washington Bullets,1997,Conference First Round
Orlando Magic,1997,Conference First Round
Charlotte Hornets,1997,Conference First Round
Minnesota Timberwolves,1997,Conference First Round
Portland Trail Blazers,1997,Conference First Round
Phoenix Suns,1997,Conference First Round
Los Angeles Clippers,1997,Conference First Round
Chicago Bulls,1998,Won Finals
Utah Jazz,1998,Lost Finals
Indiana Pacers,1998,Conference Finals
Los Angeles Lakers,1998,Conference Finals
Charlotte Hornets,1998,Conference Semifinals
New York Knicks,1998,Conference Semifinals
Seattle SuperSonics,1998,Conference Semifinals
San Antonio Spurs,1998,Conference Semifinals
Atlanta Hawks,1998,Conference First Round
New Jersey Nets,1998,Conference First Round
Cleveland Cavaliers,1998,Conference First Round
Miami Heat,1998,Conference First Round
Portland Trail Blazers,1998,Conference First Round
Phoenix Suns,1998,Conference First Round
Minnesota Timberwolves,1998,Conference First Round
Houston Rockets,1998,Conference First Round
San Antonio Spurs,1999,Won Finals
New York Knicks,1999,Lost Finals
Indiana Pacers,1999,Conference Finals
Portland Trail Blazers,1999,Conference Finals
Philadelphia 76ers,1999,Conference Semifinals
Atlanta Hawks,1999,Conference Semifinals
Utah Jazz,1999,Conference Semifinals
Los Angeles Lakers,1999,Conference Semifinals
Detroit Pistons,1999,Conference First Round
Milwaukee Bucks,1999,Conference First Round
Miami Heat,1999,Conference First Round
Orlando Magic,1999,Conference First Round
Houston Rockets,1999,Conference First Round
Phoenix Suns,1999,Conference First Round
Minnesota Timberwolves,1999,Conference First Round
Sacramento Kings,1999,Conference First Round
Los Angeles Lakers,2000,Won Finals
Indiana Pacers,2000,Lost Finals
New York Knicks,2000,Conference Finals
Portland Trail Blazers,2000,Conference Finals
Philadelphia 76ers,2000,Conference Semifinals
Miami Heat,2000,Conference Semifinals
Phoenix Suns,2000,Conference Semifinals
Utah Jazz,2000,Conference Semifinals
Milwaukee Bucks,2000,Conference First Round
Detroit Pistons,2000,Conference First Round
Toronto Raptors,2000,Conference First Round
Charlotte Hornets,2000,Conference First Round
Sacramento Kings,2000,Conference First Round
