# Tm,Pos,Player,Season,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Michael Jordan,1988,24,CHI,160,160,1.0,80.0,0.0,,82,40.4,35.0,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308
1st,F,Larry Bird,1988,31,BOS,159,160,0.994,79.0,1.0,,76,39.0,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15.0,0.243
1st,C,Hakeem Olajuwon,1988,25,HOU,157,160,0.981,77.0,3.0,,79,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0.0,0.695,10.7,0.182
1st,G,Magic Johnson,1988,28,LAL,155,160,0.969,75.0,5.0,,72,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,0.199
1st,F,Charles Barkley,1988,24,PHI,113,160,0.706,40.0,33.0,,80,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253
2nd,F,Karl Malone,1988,24,UTA,92,160,0.575,20.0,52.0,,82,39.0,27.7,12.0,2.4,1.4,0.6,0.52,0.0,0.7,10.1,0.152
2nd,F,Dominique Wilkins,1988,28,ATL,87,160,0.544,20.0,47.0,,78,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,0.16
2nd,G,Clyde Drexler,1988,25,POR,60,160,0.375,0.0,60.0,,81,37.8,27.0,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207
2nd,G,John Stockton,1988,25,UTA,52,160,0.325,4.0,44.0,,82,34.7,14.7,2.9,13.8,3.0,0.2,0.574,0.358,0.84,14.1,0.238
2nd,C,Patrick Ewing,1988,25,NYK,41,160,0.256,3.0,35.0,,82,31.0,20.2,8.2,1.5,1.3,3.0,0.555,0.0,0.716,8.1,0.154
ORV,G,Fat Lever,1988,27,DEN,29,160,0.181,1.0,27.0,,82,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163
ORV,F,Kevin McHale,1988,30,BOS,20,160,0.125,1.0,18.0,,64,37.3,22.6,8.4,2.7,0.4,1.4,0.604,0.0,0.797,10.2,0.205
