# Tm,Pos,Player,Season,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
ORV,F,Alex English,1989,35,DEN,58,425,0.136,0.0,,,82,36.5,26.5,4.0,4.7,0.8,0.1,0.491,0.25,0.858,6.8,0.11
ORV,G,Isiah Thomas,1989,27,DET,57,425,0.134,0.0,,,80,36.6,18.2,3.4,8.3,1.7,0.3,0.464,0.273,0.818,7.0,0.115
ORV,F,Larry Nance,1989,29,CLE,45,425,0.106,0.0,,,73,34.6,17.2,8.0,2.2,0.8,2.8,0.539,0.0,0.799,10.3,0.197
ORV,F,James Worthy,1989,27,LAL,40,425,0.094,1.0,,,81,36.5,20.5,6.0,3.6,1.3,0.7,0.548,0.087,0.782,9.7,0.158
ORV,F,Kevin McHale,1989,31,BOS,33,425,0.078,0.0,,,78,36.9,22.5,8.2,2.2,0.3,1.2,0.546,0.0,0.818,10.1,0.168
ORV,C,Moses Malone,1989,33,ATL,19,425,0.045,1.0,,,81,35.5,20.2,11.8,1.4,1.0,1.2,0.491,0.0,0.789,10.7,0.178
ORV,G,Joe Dumars,1989,25,DET,16,425,0.038,0.0,,,69,34.9,17.2,2.5,5.7,0.9,0.1,0.505,0.483,0.85,7.0,0.14
ORV,G,Mitch Richmond,1989,23,GSW,12,425,0.028,0.0,,,79,34.4,22.0,5.9,4.2,1.0,0.2,0.468,0.367,0.81,5.6,0.098
ORV,C,Brad Daugherty,1989,23,CLE,9,425,0.021,0.0,,,78,36.2,18.9,9.2,3.7,0.8,0.5,0.538,0.333,0.737,9.6,0.164
ORV,G,Ron Harper,1989,25,CLE,9,425,0.021,0.0,,,82,34.8,18.6,5.0,5.3,2.3,0.9,0.511,0.25,0.751,10.2,0.171
ORV,G,Fat Lever,1989,28,DEN,8,425,0.019,0.0,,,71,38.7,19.8,9.3,7.9,2.7,0.3,0.457,0.348,0.785,9.2,0.161
ORV,C,Mark Eaton,1989,32,UTA,6,425,0.014,0.0,,,82,35.5,6.2,10.3,1.0,0.5,3.8,0.462,0.0,0.66,6.6,0.108
ORV,G,Mark Jackson,1989,23,NYK,6,425,0.014,0.0,,,72,34.4,16.9,4.7,8.6,1.9,0.1,0.467,0.338,0.698,7.2,0.14
ORV,F,Bernard King,1989,32,WSB,5,425,0.012,0.0,,,81,31.6,20.7,4.7,3.6,0.8,0.2,0.477,0.167,0.819,4.9,0.092
ORV,F,Charles Oakley,1989,25,NYK,5,425,0.012,0.0,,,82,31.8,12.9,10.5,2.3,1.3,0.2,0.51,0.25,0.773,5.7,0.106
ORV,F,Otis Thorpe,1989,26,HOU,3,425,0.007,0.0,,,82,38.2,16.7,9.6,2.5,1.0,0.5,0.542,0.0,0.729,8.7,0.133
ORV,G,Danny Ainge,1989,29,TOT,1,425,0.002,0.0,0.0,1.0,73,32.6,17.5,3.5,5.5,1.3,0.1,0.457,0.38,0.854,6.7,0.135
ORV,G,Eddie Johnson,1989,29,PHO,1,425,0.002,0.0,0.0,1.0,70,29.2,21.5,4.4,2.3,0.7,0.1,0.497,0.413,0.868,6.5,0.152
ORV,F,Xavier McDaniel,1989,25,SEA,1,425,0.002,0.0,0.0,1.0,82,29.1,20.5,5.3,1.6,1.0,0.5,0.489,0.306,0.732,5.3,0.107
ORV,F,Ken Norman,1989,24,LAC,1,425,0.002,0.0,0.0,1.0,80,37.8,18.1,8.3,3.5,1.3,0.8,0.502,0.19,0.63,4.0,0.064
ORV,G,Doc Rivers,1989,27,ATL,1,425,0.002,0.0,0.0,1.0,76,32.4,13.6,3.8,6.9,2.4,0.5,0.455,0.347,0.861,8.5,0.167
ORV,G,Kelly Tripucka,1989,29,CHH,1,425,0.002,0.0,0.0,1.0,71,32.4,22.6,3.8,3.2,1.2,0.2,0.467,0.357,0.866,3.3,0.069
1st,G,Magic Johnson,1990,30,LAL,458,460,0.996,91.0,,,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27
1st,F,Charles Barkley,1990,26,PHI,456,460,0.991,91.0,,,79,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,0.269
1st,F,Karl Malone,1990,26,UTA,456,460,0.991,90.0,,,82,38.1,31.0,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,0.245
1st,G,Michael Jordan,1990,26,CHI,453,460,0.985,90.0,,,82,39.0,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19.0,0.285
1st,C,Patrick Ewing,1990,27,NYK,344,460,0.748,44.0,,,82,38.6,28.6,10.9,2.2,1.0,4.0,0.551,0.25,0.775,13.5,0.205
2nd,C,Hakeem Olajuwon,1990,27,HOU,326,460,0.709,42.0,,,82,38.1,24.3,14.0,2.9,2.1,4.6,0.501,0.167,0.713,11.2,0.173
2nd,G,John Stockton,1990,27,UTA,241,460,0.524,2.0,,,78,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,14.4,0.238
2nd,F,Tom Chambers,1990,30,PHO,234,460,0.509,1.0,,,81,37.6,27.2,7.0,2.3,1.1,0.6,0.501,0.279,0.861,11.2,0.176
2nd,F,Larry Bird,1990,33,BOS,209,460,0.454,1.0,,,75,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,9.5,0.154
2nd,G,Kevin Johnson,1990,23,PHO,177,460,0.385,0.0,,,74,37.6,22.5,3.6,11.4,1.3,0.2,0.499,0.195,0.838,11.6,0.2
3rd,C,David Robinson,1990,24,SAS,160,460,0.348,7.0,,,82,36.6,24.3,12.0,2.0,1.7,3.9,0.531,0.0,0.732,15.1,0.241
3rd,G,Clyde Drexler,1990,27,POR,113,460,0.246,0.0,,,73,36.8,23.3,6.9,5.9,2.0,0.7,0.494,0.283,0.774,11.6,0.208
3rd,G,Joe Dumars,1990,26,DET,94,460,0.204,0.0,,,75,34.4,17.8,2.8,4.9,0.8,0.0,0.48,0.4,0.9,8.7,0.162
3rd,F,James Worthy,1990,28,LAL,85,460,0.185,0.0,,,80,37.0,21.1,6.0,3.6,1.2,0.6,0.548,0.306,0.782,10.6,0.172
3rd,F,Chris Mullin,1990,26,GSW,60,460,0.13,0.0,,,78,36.3,25.1,5.9,4.1,1.6,0.6,0.536,0.372,0.889,10.2,0.174
ORV,F,Terry Cummings,1990,28,SAS,54,460,0.117,0.0,,,81,34.8,22.4,8.4,2.7,1.4,0.6,0.475,0.322,0.78,8.7,0.149
ORV,G,Isiah Thomas,1990,28,DET,36,460,0.078,0.0,,,81,37.0,18.4,3.8,9.4,1.7,0.2,0.438,0.309,0.775,6.7,0.107
ORV,F,Dominique Wilkins,1990,30,ATL,36,460,0.078,0.0,,,80,36.1,26.7,6.5,2.5,1.6,0.6,0.484,0.322,0.807,11.1,0.184
ORV,F,Kevin McHale,1990,32,BOS,33,460,0.072,0.0,,,82,33.2,20.9,8.3,2.1,0.4,1.9,0.549,0.333,0.893,11.1,0.195
ORV,G,Reggie Miller,1990,24,IND,25,460,0.054,0.0,,,82,38.9,24.6,3.6,3.8,1.3,0.2,0.514,0.414,0.868,12.1,0.182
ORV,G,Fat Lever,1990,29,DEN,18,460,0.039,0.0,,,79,35.8,18.3,9.3,6.5,2.1,0.2,0.443,0.414,0.804,8.8,0.149
ORV,F,Buck Williams,1990,29,POR,16,460,0.035,0.0,,,82,34.2,13.6,9.8,1.4,0.8,0.5,0.548,0.0,0.706,8.7,0.149
ORV,G,Terry Porter,1990,26,POR,12,460,0.026,0.0,,,80,34.8,17.6,3.4,9.1,1.9,0.1,0.462,0.374,0.892,11.7,0.202
ORV,G,Mark Price,1990,25,CLE,9,460,0.02,0.0,,,73,37.1,19.6,3.4,9.1,1.6,0.1,0.459,0.406,0.888,10.1,0.179
ORV,F,Dennis Rodman,1990,28,DET,7,460,0.015,0.0,,,82,29.0,8.8,9.7,0.9,0.6,0.7,0.581,0.111,0.654,9.3,0.189
ORV,F,Rodney McCray,1990,28,SAC,5,460,0.011,1.0,0.0,0.0,82,39.5,16.6,8.2,4.6,0.7,0.9,0.515,0.262,0.784,7.9,0.118
ORV,G,Rolando Blackman,1990,30,DAL,4,460,0.009,0.0,,,80,36.7,19.4,3.5,3.6,1.0,0.3,0.498,0.302,0.844,6.8,0.111
ORV,G,Mitch Richmond,1990,24,GSW,4,460,0.009,0.0,,,78,35.9,22.1,4.6,2.9,1.3,0.3,0.497,0.358,0.866,5.2,0.09
ORV,G,Derek Harper,1990,28,DAL,2,460,0.004,0.0,0.0,2.0,82,36.7,18.0,3.0,7.4,2.3,0.3,0.488,0.371,0.794,9.9,0.158
ORV,F,Bernard King,1990,33,WSB,2,460,0.004,0.0,0.0,2.0,82,32.8,22.4,4.9,4.6,0.6,0.1,0.487,0.13,0.803,5.5,0.099
ORV,C,Robert Parish,1990,36,BOS,2,460,0.004,0.0,0.0,2.0,79,30.3,15.7,10.1,1.3,0.5,0.9,0.58,0.0,0.747,7.8,0.157
ORV,F,Tony Campbell,1990,27,MIN,1,460,0.002,0.0,0.0,1.0,82,38.6,23.2,5.5,2.6,1.4,0.4,0.457,0.167,0.787,5.3,0.081
ORV,G,Eddie Johnson,1990,30,PHO,1,460,0.002,0.0,0.0,1.0,64,28.3,16.9,3.8,1.7,0.5,0.2,0.453,0.38,0.917,3.9,0.104
ORV,F,Rick Mahorn,1990,31,PHI,1,460,0.002,0.0,0.0,1.0,75,30.3,10.8,7.6,1.3,0.6,1.4,0.497,0.222,0.715,5.3,0.113
ORV,G,Jeff Malone,1990,28,WSB,1,460,0.002,0.0,0.0,1.0,75,34.2,24.3,2.7,3.2,0.6,0.1,0.491,0.167,0.877,5.2,0.098
ORV,F,Charles Oakley,1990,26,NYK,1,460,0.002,0.0,0.0,1.0,61,36.0,14.6,11.9,2.4,1.0,0.3,0.524,0.0,0.761,6.0,0.131
ORV,G,Ricky Pierce,1990,30,MIL,1,460,0.002,0.0,0.0,1.0,59,29.0,23.0,2.8,2.3,0.8,0.1,0.51,0.346,0.839,5.8,0.163
ORV,F,Scottie Pippen,1990,24,CHI,1,460,0.002,0.0,0.0,1.0,82,38.4,16.5,6.7,5.4,2.6,1.2,0.489,0.25,0.675,5.7,0.087
ORV,F,Charles Smith,1990,24,LAC,1,460,0.002,0.0,0.0,1.0,78,35.0,21.1,6.7,1.5,1.1,1.5,0.52,0.083,0.794,9.4,0.165
ORV,F,Hot Rod Williams,1990,27,CLE,1,460,0.002,0.0,0.0,1.0,82,33.9,16.8,8.1,2.0,1.0,2.0,0.493,0.0,0.739,8.7,0.15
1st,G,Michael Jordan,1991,27,CHI,476,480,0.992,94.0,,,82,37.0,31.5,6.0,5.5,2.7,1.0,0.539,0.312,0.851,20.3,0.321
1st,G,Magic Johnson,1991,31,LAL,472,480,0.983,93.0,,,79,37.1,19.4,7.0,12.5,1.3,0.2,0.477,0.32,0.906,15.4,0.251
1st,F,Karl Malone,1991,27,UTA,464,480,0.967,88.0,,,82,40.3,29.0,11.8,3.3,1.1,1.0,0.527,0.286,0.77,15.5,0.225
1st,C,David Robinson,1991,25,SAS,458,480,0.954,87.0,,,82,37.7,25.6,13.0,2.5,1.5,3.9,0.552,0.143,0.762,17.0,0.264
1st,F,Charles Barkley,1991,27,PHI,452,480,0.942,82.0,,,67,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,13.4,0.258
2nd,C,Patrick Ewing,1991,28,NYK,240,480,0.5,7.0,,,81,38.3,26.6,11.2,3.0,1.0,3.2,0.514,0.0,0.745,10.0,0.155
2nd,F,Dominique Wilkins,1991,31,ATL,224,480,0.467,11.0,,,81,38.0,25.9,9.0,3.3,1.5,0.8,0.47,0.341,0.829,11.4,0.177
2nd,G,Kevin Johnson,1991,24,PHO,212,480,0.442,3.0,,,77,36.0,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,12.7,0.22
2nd,G,Clyde Drexler,1991,28,POR,202,480,0.421,2.0,,,82,34.8,21.5,6.7,6.0,1.8,0.7,0.482,0.319,0.794,12.4,0.209
2nd,F,Chris Mullin,1991,27,GSW,141,480,0.294,1.0,,,82,40.4,25.7,5.4,4.0,2.1,0.8,0.536,0.301,0.884,12.2,0.176
3rd,G,John Stockton,1991,28,UTA,160,480,0.333,0.0,,,82,37.8,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,14.0,0.217
3rd,F,James Worthy,1991,29,LAL,117,480,0.244,2.0,,,78,38.6,21.4,4.6,3.5,1.3,0.4,0.492,0.289,0.797,9.0,0.143
3rd,F,Bernard King,1991,34,WSB,111,480,0.231,3.0,,,64,37.5,28.4,5.0,4.6,0.9,0.3,0.472,0.216,0.79,3.5,0.07
3rd,C,Hakeem Olajuwon,1991,28,HOU,100,480,0.208,2.0,,,56,36.8,21.2,13.8,2.3,2.2,3.9,0.508,0.0,0.769,8.6,0.201
3rd,G,Joe Dumars,1991,27,DET,61,480,0.127,0.0,,,80,38.1,20.4,2.3,5.5,1.1,0.1,0.481,0.311,0.89,9.9,0.155
ORV,F,Larry Bird,1991,34,BOS,104,480,0.217,4.0,,,60,38.0,19.4,8.5,7.2,1.8,1.0,0.454,0.389,0.891,6.6,0.14
ORV,G,Tim Hardaway,1991,24,GSW,53,480,0.11,0.0,,,82,39.2,22.9,4.0,9.7,2.6,0.1,0.476,0.385,0.803,9.9,0.148
ORV,C,Robert Parish,1991,37,BOS,47,480,0.098,0.0,,,81,30.1,14.9,10.6,0.8,0.8,1.3,0.598,0.0,0.767,10.0,0.198
ORV,G,Terry Porter,1991,27,POR,32,480,0.067,0.0,,,81,32.9,17.0,3.5,8.0,2.0,0.1,0.515,0.415,0.823,13.0,0.235
ORV,F,Otis Thorpe,1991,28,HOU,25,480,0.052,0.0,,,82,37.1,17.5,10.3,2.4,0.9,0.2,0.556,0.429,0.696,10.4,0.164
ORV,F,Scottie Pippen,1991,25,CHI,22,480,0.046,0.0,,,82,36.8,17.8,7.3,6.2,2.4,1.1,0.52,0.309,0.706,11.2,0.179
ORV,G,Mitch Richmond,1991,25,GSW,19,480,0.04,0.0,,,77,39.3,23.9,5.9,3.1,1.6,0.4,0.494,0.348,0.847,7.1,0.113
ORV,F,Buck Williams,1991,30,POR,19,480,0.04,0.0,,,80,32.3,11.7,9.4,1.2,0.6,0.6,0.602,0.0,0.705,8.5,0.158
ORV,C,Brad Daugherty,1991,25,CLE,18,480,0.038,0.0,,,76,38.8,21.6,10.9,3.3,1.0,0.6,0.524,0.0,0.751,9.0,0.147
ORV,F,Dennis Rodman,1991,29,DET,18,480,0.038,0.0,,,82,33.5,8.2,12.5,1.0,0.8,0.7,0.493,0.2,0.631,8.7,0.151
ORV,G,Reggie Miller,1991,25,IND,16,480,0.033,0.0,,,82,36.2,22.6,3.4,4.0,1.3,0.2,0.512,0.348,0.918,12.5,0.202
ORV,F,Kevin McHale,1991,33,BOS,13,480,0.027,0.0,,,68,30.4,18.4,7.1,1.9,0.4,2.1,0.553,0.405,0.829,7.9,0.182
ORV,G,Michael Adams,1991,28,DEN,9,480,0.019,0.0,,,66,35.5,26.5,3.9,10.5,2.2,0.1,0.394,0.296,0.879,6.3,0.128
ORV,F,Lionel Simmons,1991,22,SAC,6,480,0.012,1.0,0.0,1.0,79,37.7,18.0,8.8,4.0,1.4,1.1,0.422,0.273,0.736,2.7,0.044
ORV,G,Hersey Hawkins,1991,24,PHI,4,480,0.008,0.0,,,80,38.9,22.1,3.9,3.7,2.2,0.5,0.472,0.4,0.871,9.8,0.151
ORV,G,Isiah Thomas,1991,29,DET,4,480,0.008,0.0,,,48,34.5,16.2,3.3,9.3,1.6,0.2,0.435,0.292,0.782,3.4,0.098
ORV,F,Tom Chambers,1991,31,PHO,3,480,0.006,0.0,,,76,32.6,19.9,6.4,2.6,0.9,0.7,0.437,0.274,0.826,5.4,0.105
ORV,G,Alvin Robertson,1991,28,MIL,3,480,0.006,0.0,,,81,32.1,13.6,5.7,5.5,3.0,0.2,0.485,0.365,0.757,7.7,0.142
ORV,F,Charles Smith,1991,25,LAC,3,480,0.006,0.0,,,74,36.5,20.0,8.2,1.8,1.1,2.0,0.469,0.0,0.793,7.4,0.131
ORV,G,Kenny Smith,1991,25,HOU,3,480,0.006,0.0,,,78,34.6,17.7,2.1,7.1,1.4,0.1,0.52,0.363,0.844,9.0,0.161
ORV,F,Horace Grant,1991,25,CHI,2,480,0.004,0.0,0.0,2.0,78,33.9,12.8,8.4,2.3,1.2,0.9,0.547,0.167,0.711,10.3,0.188
ORV,F,Larry Nance,1991,31,CLE,2,480,0.004,0.0,0.0,2.0,80,36.6,19.2,8.6,3.0,0.8,2.5,0.524,0.25,0.803,9.8,0.16
ORV,F,Derrick Coleman,1991,23,NJN,1,480,0.002,0.0,0.0,1.0,74,35.2,18.4,10.3,2.2,1.0,1.3,0.467,0.342,0.731,5.8,0.108
ORV,C,Kevin Duckworth,1991,26,POR,1,480,0.002,0.0,0.0,1.0,81,31.0,15.8,6.6,1.1,0.4,0.4,0.481,0.0,0.772,4.3,0.082
ORV,G,Derek Harper,1991,29,DAL,1,480,0.002,0.0,0.0,1.0,77,37.4,19.7,3.0,7.1,1.9,0.2,0.467,0.362,0.731,7.6,0.127
ORV,G,Jeff Hornacek,1991,27,PHO,1,480,0.002,0.0,0.0,1.0,80,34.2,16.9,4.0,5.1,1.4,0.2,0.518,0.418,0.897,9.7,0.171
ORV,F,Jerome Kersey,1991,28,POR,1,480,0.002,0.0,0.0,1.0,73,32.3,14.8,6.6,3.1,1.4,1.0,0.478,0.308,0.709,6.7,0.136
1st,G,Michael Jordan,1992,28,CHI,478,480,0.996,95.0,,,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274
1st,F,Karl Malone,1992,28,UTA,466,480,0.971,91.0,,,81,37.7,28.0,11.2,3.0,1.3,0.6,0.526,0.176,0.778,15.1,0.237
1st,G,Clyde Drexler,1992,29,POR,408,480,0.85,65.0,,,76,36.2,25.0,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223
1st,C,David Robinson,1992,26,SAS,397,480,0.827,62.0,,,68,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26
1st,F,Chris Mullin,1992,28,GSW,379,480,0.79,53.0,,,81,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155
2nd,F,Scottie Pippen,1992,26,CHI,341,480,0.71,37.0,,,82,38.6,21.0,7.7,7.0,1.9,1.1,0.506,0.2,0.76,12.7,0.192
2nd,C,Patrick Ewing,1992,29,NYK,309,480,0.644,31.0,,,82,38.4,24.0,11.2,1.9,1.1,3.0,0.522,0.167,0.738,13.0,0.198
2nd,G,Tim Hardaway,1992,25,GSW,288,480,0.6,15.0,,,81,41.1,23.4,3.8,10.0,2.0,0.2,0.461,0.338,0.766,9.2,0.132
2nd,G,John Stockton,1992,29,UTA,269,480,0.56,14.0,,,82,36.6,15.8,3.3,13.7,3.0,0.3,0.482,0.407,0.842,13.4,0.215
2nd,F,Charles Barkley,1992,28,PHI,196,480,0.408,6.0,,,75,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205
3rd,F,Dennis Rodman,1992,30,DET,179,480,0.373,5.0,,,82,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183
3rd,G,Mark Price,1992,27,CLE,81,480,0.169,0.0,,,72,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205
3rd,G,Kevin Johnson,1992,25,PHO,78,480,0.162,2.0,,,78,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10.0,0.165
3rd,C,Brad Daugherty,1992,26,CLE,70,480,0.146,3.0,,,73,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0.0,0.777,11.7,0.213
3rd,F,Kevin Willis,1992,29,ATL,38,480,0.079,0.0,,,81,36.6,18.3,15.5,2.1,0.9,0.7,0.483,0.162,0.804,8.8,0.143
ORV,G,Jeff Hornacek,1992,28,PHO,50,480,0.104,0.0,,,81,38.0,20.1,5.0,5.1,2.0,0.4,0.512,0.439,0.886,11.6,0.181
ORV,C,Hakeem Olajuwon,1992,29,HOU,37,480,0.077,0.0,,,70,37.7,21.6,12.1,2.2,1.8,4.3,0.502,0.0,0.766,9.8,0.178
ORV,G,Joe Dumars,1992,28,DET,28,480,0.058,1.0,,,82,38.9,19.9,2.3,4.6,0.9,0.1,0.448,0.408,0.867,8.2,0.123
ORV,F,Larry Johnson,1992,22,CHH,26,480,0.054,0.0,,,82,37.2,19.2,11.0,3.6,1.0,0.6,0.49,0.227,0.829,8.9,0.14
ORV,F,Danny Manning,1992,25,LAC,26,480,0.054,0.0,,,82,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0.0,0.725,9.8,0.162
ORV,F,Larry Bird,1992,35,BOS,21,480,0.044,0.0,,,45,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,5.5,0.159
ORV,F,Reggie Lewis*,1992,26,BOS,17,480,0.035,0.0,,,82,37.4,20.8,4.8,2.3,1.5,1.3,0.503,0.238,0.851,9.1,0.143
ORV,F,Larry Nance,1992,32,CLE,16,480,0.033,0.0,,,81,35.6,17.0,8.3,2.9,1.0,3.0,0.539,0.0,0.822,12.2,0.204
ORV,G,Isiah Thomas,1992,30,DET,10,480,0.021,0.0,,,78,37.4,18.5,3.2,7.2,1.5,0.2,0.446,0.291,0.772,5.8,0.095
ORV,G,Mitch Richmond,1992,26,SAC,9,480,0.019,0.0,,,80,38.7,22.5,4.0,5.1,1.2,0.4,0.468,0.384,0.813,4.9,0.076
ORV,F,Horace Grant,1992,26,CHI,8,480,0.017,0.0,,,81,35.3,14.2,10.0,2.7,1.2,1.6,0.578,0.0,0.741,14.1,0.237
ORV,F,Detlef Schrempf,1992,29,IND,8,480,0.017,0.0,,,80,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181
ORV,F,Glen Rice,1992,24,MIA,6,480,0.012,0.0,,,79,38.1,22.3,5.0,2.3,1.1,0.4,0.469,0.391,0.836,7.9,0.126
ORV,F,Otis Thorpe,1992,29,HOU,6,480,0.012,0.0,,,82,37.3,17.3,10.5,3.0,0.6,0.5,0.592,0.0,0.657,8.9,0.14
ORV,G,Kendall Gill,1992,23,CHH,3,480,0.006,0.0,,,79,36.8,20.5,5.1,4.2,1.9,0.6,0.467,0.24,0.745,4.7,0.077
ORV,G,Jeff Malone,1992,30,UTA,3,480,0.006,0.0,,,81,36.1,20.2,2.9,2.2,0.7,0.1,0.511,0.083,0.898,6.6,0.108
ORV,C,Robert Parish,1992,38,BOS,3,480,0.006,0.0,,,79,28.9,14.1,8.9,0.9,0.9,1.2,0.535,0.0,0.772,7.4,0.155
ORV,F,Dominique Wilkins,1992,32,ATL,3,480,0.006,0.0,,,42,38.1,28.1,7.0,3.8,1.2,0.6,0.464,0.289,0.835,5.1,0.152
ORV,F,Buck Williams,1992,31,POR,3,480,0.006,0.0,,,80,31.5,11.3,8.8,1.4,0.8,0.5,0.604,0.0,0.754,9.2,0.175
ORV,G,Reggie Miller,1992,26,IND,2,480,0.004,0.0,0.0,2.0,82,38.0,20.7,3.9,3.8,1.3,0.3,0.501,0.378,0.858,11.0,0.169
ORV,G,Ricky Pierce,1992,32,SEA,2,480,0.004,0.0,0.0,2.0,78,34.1,21.7,3.0,3.1,1.1,0.3,0.475,0.268,0.916,7.8,0.142
ORV,F,James Worthy,1992,30,LAL,2,480,0.004,0.0,0.0,2.0,54,39.0,19.9,5.6,4.7,1.4,0.4,0.447,0.209,0.814,3.1,0.07
ORV,G,Mookie Blaylock,1992,24,NJN,1,480,0.002,0.0,0.0,1.0,72,35.4,13.8,3.7,6.8,2.4,0.6,0.432,0.222,0.712,4.9,0.092
ORV,F,Derrick Coleman,1992,24,NJN,1,480,0.002,0.0,0.0,1.0,65,34.0,19.8,9.5,3.2,0.8,1.5,0.504,0.303,0.763,5.6,0.121
ORV,F,Terry Cummings,1992,30,SAS,1,480,0.002,0.0,0.0,1.0,70,30.7,17.3,9.0,1.5,0.8,0.5,0.488,0.385,0.711,6.5,0.145
ORV,G,Ron Harper,1992,28,LAC,1,480,0.002,0.0,0.0,1.0,82,38.3,18.2,5.5,5.1,1.9,0.9,0.44,0.303,0.736,5.6,0.085
ORV,G,Mark Jackson,1992,26,NYK,1,480,0.002,0.0,0.0,1.0,81,30.4,11.3,3.8,8.6,1.4,0.2,0.491,0.256,0.77,7.6,0.149
ORV,G,Terry Porter,1992,28,POR,1,480,0.002,0.0,0.0,1.0,82,34.0,18.1,3.1,5.8,1.5,0.1,0.461,0.395,0.856,10.6,0.182
1st,F,Charles Barkley,1993,29,PHO,490,490,1.0,98.0,0.0,0.0,76,37.6,25.6,12.2,5.1,1.6,1.0,0.52,0.305,0.765,14.4,0.242
1st,G,Michael Jordan,1993,29,CHI,490,490,1.0,98.0,0.0,0.0,78,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27
1st,C,Hakeem Olajuwon,1993,30,HOU,455,490,0.929,83.0,,,82,39.5,26.1,13.0,3.5,1.8,4.2,0.529,0.0,0.779,15.8,0.234
1st,F,Karl Malone,1993,29,UTA,377,490,0.769,45.0,,,82,37.8,27.0,11.2,3.8,1.5,1.0,0.552,0.2,0.74,15.4,0.238
1st,G,Mark Price,1993,28,CLE,344,490,0.702,44.0,,,75,31.7,18.2,2.7,8.0,1.2,0.1,0.484,0.416,0.948,9.8,0.197
2nd,F,Dominique Wilkins,1993,33,ATL,372,490,0.759,47.0,,,71,37.3,29.9,6.8,3.2,1.0,0.4,0.468,0.38,0.828,10.5,0.191
2nd,G,John Stockton,1993,30,UTA,294,490,0.6,26.0,,,82,34.9,15.1,2.9,12.0,2.4,0.3,0.486,0.385,0.798,10.6,0.177
2nd,C,Patrick Ewing,1993,30,NYK,292,490,0.596,15.0,,,81,37.1,24.2,12.1,1.9,0.9,2.0,0.503,0.143,0.719,10.6,0.17
2nd,G,Joe Dumars,1993,29,DET,290,490,0.592,24.0,,,77,40.2,23.5,1.9,4.0,1.0,0.1,0.466,0.375,0.864,9.1,0.141
2nd,F,Larry Johnson,1993,23,CHH,155,490,0.316,3.0,,,82,40.5,22.1,10.5,4.3,0.6,0.3,0.526,0.254,0.767,9.6,0.139
3rd,F,Scottie Pippen,1993,27,CHI,136,490,0.278,1.0,,,81,38.6,18.6,7.7,6.3,2.1,0.9,0.473,0.237,0.663,8.6,0.132
3rd,G,Tim Hardaway,1993,26,GSW,99,490,0.202,3.0,,,66,39.5,21.5,4.0,10.6,1.8,0.2,0.447,0.33,0.744,7.5,0.138
3rd,G,Dražen Petrović,1993,28,NJN,86,490,0.176,0.0,,,70,38.0,22.3,2.7,3.5,1.3,0.2,0.518,0.449,0.87,8.4,0.152
3rd,C,David Robinson,1993,27,SAS,72,490,0.147,0.0,,,82,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197
3rd,F,Derrick Coleman,1993,25,NJN,60,490,0.122,1.0,,,76,36.3,20.7,11.2,3.6,1.2,1.7,0.46,0.232,0.808,9.5,0.165
ORV,C,Shaquille O'Neal,1993,20,ORL,58,490,0.118,0.0,,,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0.0,0.592,10.4,0.163
ORV,F,Danny Manning,1993,26,LAC,55,490,0.112,0.0,,,79,34.9,22.8,6.6,2.6,1.4,1.3,0.509,0.267,0.802,7.9,0.137
ORV,G,Dan Majerle,1993,27,PHO,49,490,0.1,1.0,,,82,39.0,16.9,4.7,3.8,1.7,0.4,0.464,0.381,0.778,9.8,0.147
